,genes,method,x,n,mean,lower,upper
43,MG_053,exact,10,10,1,0.691502892,1
44,MG_055,exact,10,10,1,0.691502892,1
45,MG_473,exact,10,10,1,0.691502892,1
46,MG_058,exact,10,10,1,0.691502892,1
47,MG_059,exact,10,10,1,0.691502892,1
48,MG_061,exact,10,10,1,0.691502892,1
49,MG_062,exact,10,10,1,0.691502892,1
50,MG_063,exact,10,10,1,0.691502892,1
51,MG_064,exact,10,10,1,0.691502892,1
52,MG_065,exact,10,10,1,0.691502892,1
53,MG_066,exact,10,10,1,0.691502892,1
54,MG_069,exact,10,10,1,0.691502892,1
55,MG_070,exact,10,10,1,0.691502892,1
56,MG_071,exact,10,10,1,0.691502892,1
57,MG_072,exact,10,10,1,0.691502892,1
58,MG_073,exact,10,10,1,0.691502892,1
59,MG_075,exact,10,10,1,0.691502892,1
60,MG_077,exact,10,10,1,0.691502892,1
61,MG_078,exact,10,10,1,0.691502892,1
62,MG_079,exact,10,10,1,0.691502892,1
63,MG_080,exact,10,10,1,0.691502892,1
64,MG_081,exact,10,10,1,0.691502892,1
65,MG_082,exact,10,10,1,0.691502892,1
66,MG_083,exact,10,10,1,0.691502892,1
67,MG_084,exact,6,10,0.6,0.262378077,0.878447742
68,MG_085,exact,10,10,1,0.691502892,1
69,MG_086,exact,10,10,1,0.691502892,1
70,MG_087,exact,10,10,1,0.691502892,1
71,MG_088,exact,10,10,1,0.691502892,1
72,MG_089,exact,10,10,1,0.691502892,1
73,MG_090,exact,10,10,1,0.691502892,1
74,MG_091,exact,10,10,1,0.691502892,1
75,MG_092,exact,10,10,1,0.691502892,1
76,MG_093,exact,10,10,1,0.691502892,1
77,MG_094,exact,10,10,1,0.691502892,1
78,MG_097,exact,10,10,1,0.691502892,1
79,MG_098,exact,10,10,1,0.691502892,1
80,MG_099,exact,10,10,1,0.691502892,1
81,MG_100,exact,10,10,1,0.691502892,1
82,MG_101,exact,10,10,1,0.691502892,1
83,MG_102,exact,10,10,1,0.691502892,1
84,MG_476,exact,10,10,1,0.691502892,1
85,MG_104,exact,8,10,0.8,0.443904538,0.974789274
86,MG_105,exact,10,10,1,0.691502892,1
87,MG_106,exact,10,10,1,0.691502892,1
88,MG_107,exact,10,10,1,0.691502892,1
89,MG_109,exact,10,10,1,0.691502892,1
90,MG_110,exact,10,10,1,0.691502892,1
91,MG_111,exact,10,10,1,0.691502892,1
92,MG_112,exact,10,10,1,0.691502892,1
93,MG_113,exact,10,10,1,0.691502892,1
94,MG_114,exact,10,10,1,0.691502892,1
95,MG_118,exact,10,10,1,0.691502892,1
96,MG_119,exact,10,10,1,0.691502892,1
97,MG_120,exact,10,10,1,0.691502892,1
98,MG_121,exact,10,10,1,0.691502892,1
99,MG_122,exact,7,10,0.7,0.34754715,0.933260489
100,MG_123,exact,10,10,1,0.691502892,1
101,MG_124,exact,10,10,1,0.691502892,1
102,MG_126,exact,9,10,0.9,0.554983883,0.997471421
103,MG_127,exact,9,10,0.9,0.554983883,0.997471421
104,MG_128,exact,10,10,1,0.691502892,1
105,MG_130,exact,10,10,1,0.691502892,1
106,MG_132,exact,10,10,1,0.691502892,1
107,MG_136,exact,10,10,1,0.691502892,1
108,MG_137,exact,10,10,1,0.691502892,1
109,MG_139,exact,10,10,1,0.691502892,1
110,MG_141,exact,10,10,1,0.691502892,1
111,MG_142,exact,10,10,1,0.691502892,1
112,MG_143,exact,10,10,1,0.691502892,1
113,MG_145,exact,10,10,1,0.691502892,1
114,MG_149,exact,10,10,1,0.691502892,1
115,MG_150,exact,10,10,1,0.691502892,1
116,MG_151,exact,10,10,1,0.691502892,1
117,MG_152,exact,10,10,1,0.691502892,1
118,MG_153,exact,10,10,1,0.691502892,1
119,MG_154,exact,10,10,1,0.691502892,1
120,MG_155,exact,10,10,1,0.691502892,1
121,MG_156,exact,10,10,1,0.691502892,1
122,MG_157,exact,10,10,1,0.691502892,1
123,MG_158,exact,10,10,1,0.691502892,1
124,MG_159,exact,10,10,1,0.691502892,1
125,MG_160,exact,10,10,1,0.691502892,1
126,MG_161,exact,10,10,1,0.691502892,1
127,MG_162,exact,10,10,1,0.691502892,1
